company,description,location,rating,salary,title
,"Active participation in the full Software Development Lifecycle, from the conceptual stage to implementation including participation in sprint planning sessions…","Ottawa, ON",,"$45,000 - $75,000 a year",Full Stack Developer - Junior/Intermediate
,"Minimum 3 years of experience as a software developer.,We’re looking for an ambitious Full Stack (Ruby on Rails/JavaScript) Developer who wishes to become…","Ottawa, ON",,"$80,000 a year",Full Stack (Ruby on Rails/JavaScript) Developer
,"A Software developer with 5+ years of professional experience in all phases of development.,The successful candidate for this position will be a software…","Ottawa, ON",,,Full Stack Developer
Thinking Capital,"Develop customer solutions through collaboration with our product, data science and customer experience experts.,Relational databases such as PostgresQL, MySQL.","Ottawa, ON",3.2,,Full-Stack Developer
Thinking Capital,"Develop customer solutions through collaboration with our product, data science and customer experience experts.,Relational databases such as PostgresQL, MySQL.","Ottawa, ON",3.2,,Full-Stack Developer
Ciena,"The ideal candidate should have solid expertise in front-end technologies, is experienced in implementing quality products with a great customer experience and…","Ottawa, ON",3.9,,UI/Full-Stack Engineer
,"We have an immediate need for a full-time, permanent Senior, Full-Stack Web Developer with a minimum 7-years experience.,Job Types: Full-time, Permanent.","Ottawa, ON",,"$100,000 a year",Full Stack Web Developer - Senior
,"As a full stack developer, you should have a passion for innovative data solutions and be fluent in a variety of coding languages – we primarily use ES6 Node on…","Ottawa, ON",,"$70,000 a year",Full Stack Developer
,"As the successful candidate, you will be a full stack Developer with strong development capabilities.,Otherwise, we are seeking strong developers in related…","Ottawa, ON",,,Senior Software Engineer / Full Stack Developer
,"5+ years of experience in full stack development (web).,You will be responsible for designing and developing custom web applications to facilitate the needs of…","Ottawa, ON",,,Experienced Full Stack Developer
Appletree Medical Group,Primary Function: Provide expertise as a full stack software developer on all platforms and products related to the EMR Advantage suite of software and…,"Ottawa, ON",2.1,"$90,000 - $120,000 a year",Software Developer (CHS)
Kinaxis,"Comfortable working the stack to deliver vertically sliced features.,Our customers rely on RapidResponse, our cloud platform, to plan their supply chains,…","Ottawa, ON",4.0,,Full Stack Developer
Mitel,"Manage full microservice stack running on the cloud platform.,Work in collaboration with other software developers and architects, and under the direction of…","Ottawa, ON",3.3,,Software Developer
,"A Software developer with 5+ years of professional experience in all phases of development.,The successful candidate for this position will be a software…","Ottawa, ON",,,Full Stack Developer
Thinking Capital,"Develop customer solutions through collaboration with our product, data science and customer experience experts.,Relational databases such as PostgresQL, MySQL.","Ottawa, ON",3.2,,Full-Stack Developer
Mitel,"2 years+ experience as a junior web app developer working with javascript frameworks such as Angular, React or Vue.","Ottawa, ON",3.3,,Web App Developer
Kinaxis,"Comfortable working the stack to deliver vertically sliced features.,Strong ability to share knowledge and mentor more junior developers.","Ottawa, ON",4.0,,Senior Full Stack Developer
IBM,"Experience in full stack cloud application development and REST APIs using JSON.,To think along with clients and sell.","Ottawa, ON",3.9,,DevOps Developer Intern (4 months)
Ericsson,"Full-stack Virtualization of the 5G NR CU and DU.,Be able to deliver scalability, resilience and performance by taking full advantage of the evolving…","Ottawa, ON",4.1,,Developer - Cloud Native 5G
Thinking Capital,"Develop customer solutions through collaboration with our product, data science and customer experience experts.,Relational databases such as PostgresQL, MySQL.","Ottawa, ON",3.2,,Full-Stack Developer
,"With state-of-the-art software, hardware and services for any type of network.,Nokia is positioned to help communication service providers, governments, and…","Ottawa, ON",,,"Full Stack Developer (UI/UX), CNS"
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
Entrust Datacard,"Design and implement new product capabilities using Java and JavaScript.,Ensure new features have automated system tests to promote rapid and stable development…","Ottawa, ON",3.2,,Sr Software Developer
Irdeto,"Five-plus years of full-time software development experience.,Interface internally with other developers, product managers, solution architects, and other…","Ottawa, ON",3.8,,Full Stack Developer
,"5+ years of experience in full stack development (web).,You will be responsible for designing and developing custom web applications to facilitate the needs of…","Ottawa, ON",,,Experienced Full Stack Developer
Appletree Medical Group,Primary Function: Provide expertise as a full stack software developer on all platforms and products related to the EMR Advantage suite of software and…,"Ottawa, ON",2.1,"$90,000 - $120,000 a year",Software Developer (CHS)
Kinaxis,"Comfortable working the stack to deliver vertically sliced features.,Our customers rely on RapidResponse, our cloud platform, to plan their supply chains,…","Ottawa, ON",4.0,,Full Stack Developer
Mitel,"Manage full microservice stack running on the cloud platform.,Work in collaboration with other software developers and architects, and under the direction of…","Ottawa, ON",3.3,,Software Developer
Kivuto Solutions,"While currently working remotely, we have a comfortable working environment in the downtown Ottawa area when safe to return.","Ottawa, ON",4.0,,Software/Full Stack Developer
The National Benefit Authority,"Full stack web developing (front/back end).,PHP Developer/Analyst + Work from Home*.,You will design + build + code web-based applications + digital interfaces,…","Ottawa, ON",4.0,"$60,000 a year",PHP Developer/Analyst
Mitel,"2 years+ experience as a junior web app developer working with javascript frameworks such as Angular, React or Vue.","Ottawa, ON",3.3,,Web App Developer
Kinaxis,"Comfortable working the stack to deliver vertically sliced features.,Strong ability to share knowledge and mentor more junior developers.","Ottawa, ON",4.0,,Senior Full Stack Developer
IBM,"Experience in full stack cloud application development and REST APIs using JSON.,To think along with clients and sell.","Ottawa, ON",3.9,,DevOps Developer Intern (4 months)
Ericsson,"Full-stack Virtualization of the 5G NR CU and DU.,Be able to deliver scalability, resilience and performance by taking full advantage of the evolving…","Ottawa, ON",4.1,,Developer - Cloud Native 5G
,"With state-of-the-art software, hardware and services for any type of network.,Nokia is positioned to help communication service providers, governments, and…","Ottawa, ON",,,"Full Stack Developer (UI/UX), CNS"
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
Entrust Datacard,"Design and implement new product capabilities using Java and JavaScript.,Ensure new features have automated system tests to promote rapid and stable development…","Ottawa, ON",3.2,,Sr Software Developer
Irdeto,"Five-plus years of full-time software development experience.,Interface internally with other developers, product managers, solution architects, and other…","Ottawa, ON",3.8,,Full Stack Developer
,"As a member of our Engineering team you’ll work closely with the Product team, ensuring that customer experience is front-and-centre for all future features.","Ottawa, ON",,"$95,000 - $125,000 a year",Senior Software Developer
Kivuto Solutions,"While currently working remotely, we have a comfortable working environment in the downtown Ottawa area when safe to return.","Ottawa, ON",4.0,,Software/Full Stack Developer
The National Benefit Authority,"Full stack web developing (front/back end).,PHP Developer/Analyst + Work from Home*.,You will design + build + code web-based applications + digital interfaces,…","Ottawa, ON",4.0,"$60,000 a year",PHP Developer/Analyst
Moneris Solutions Corporation,"Owns the full stack and entire lifecycle of key software applications, from the roadmap to the design/architecture to implementation and continuous iterative…","Ottawa, ON",3.5,,Senior Full Stack Developer - React/Java/JavaScript
,"Work with development teams and product managers to ideate software solutions.,Design front-end and back-end software architecture, and build software…","Kanata, ON",,"$65,000 - $100,000 a year",Senior Full Stack Developer – Cloud Server
Rockport Networks,"5+ years of full-stack or backend software development experience.,You will participate in the full development cycle, including contribution to architecture,…","Ottawa, ON",4.0,,Software Developer
,"Build, and maintain high traffic applications/services; responsible for system requirements, design, full-stack development, testing, deployment, support and…","Ottawa, ON",,,Full Stack Developer
Fortinet,"In addition, they will work closely with other developers and manager of system development team to implement their components by utilizing their knowledge and…","Ottawa, ON",3.8,,Web Developer
,"Implementing, testing, documenting, and maintaining back-end systems for multiple high-traffic services.,Providing constructive feedback in the form of code and…","Ottawa, ON",,,Intermediate Full Stack Software Developer (Remote within Canada)
,"A proven track record of development experience in the professional services industry.,Familiarity with the software development life cycle.","Ottawa, ON",,,Developers and Quality Control
,"Thought Leadership: You analyze MonetizeMore’s tech stack, systems and processes with the goal to iterate on a regular basis.","Ottawa, ON",,,Remote Full Stack Web Developer
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
,We are seeking an experienced full-stack software developer to work with our development team to enhance our existing and new software product offerings.,"Ottawa, ON",,"$50,000 - $80,000 a year",Software Developer
Ross Video,"While we have individual specialties, we are all full stack developers.,If you are the successful candidate, you may be required to undergo a background check…","Ottawa, ON",3.7,,Software Developer - Inception (Job Req. #2021-061)
,"Experience understanding problems throughout the software stack and building appropriate solutions.,This position requires excellent communication skills,…","Ottawa, ON",,,Software Developer
,"You are a Full stack software developer with 5-10+ years of experience who enjoys solving complex problems.,We need like-minded individuals who want to make a…","Ottawa, ON",,,Senior Software Developer
Microsoft,"If you're looking to develop software that helps business users as well as developers and spans the full stack, this team is for you.","Ottawa, ON",4.2,,Software Engineer
Thinking Capital,"Develop customer solutions through collaboration with our product, data science and customer experience experts.,Relational databases such as PostgresQL, MySQL.","Ottawa, ON",3.2,,Full-Stack Developer
,"5+ years of experience in full stack development (web).,You will be responsible for designing and developing custom web applications to facilitate the needs of…","Ottawa, ON",,,Experienced Full Stack Developer
Appletree Medical Group,Primary Function: Provide expertise as a full stack software developer on all platforms and products related to the EMR Advantage suite of software and…,"Ottawa, ON",2.1,"$90,000 - $120,000 a year",Software Developer (CHS)
Kinaxis,"Comfortable working the stack to deliver vertically sliced features.,Our customers rely on RapidResponse, our cloud platform, to plan their supply chains,…","Ottawa, ON",4.0,,Full Stack Developer
Mitel,"Manage full microservice stack running on the cloud platform.,Work in collaboration with other software developers and architects, and under the direction of…","Ottawa, ON",3.3,,Software Developer
Mitel,"2 years+ experience as a junior web app developer working with javascript frameworks such as Angular, React or Vue.","Ottawa, ON",3.3,,Web App Developer
Kinaxis,"Comfortable working the stack to deliver vertically sliced features.,Strong ability to share knowledge and mentor more junior developers.","Ottawa, ON",4.0,,Senior Full Stack Developer
IBM,"Experience in full stack cloud application development and REST APIs using JSON.,To think along with clients and sell.","Ottawa, ON",3.9,,DevOps Developer Intern (4 months)
Ericsson,"Full-stack Virtualization of the 5G NR CU and DU.,Be able to deliver scalability, resilience and performance by taking full advantage of the evolving…","Ottawa, ON",4.1,,Developer - Cloud Native 5G
,"With state-of-the-art software, hardware and services for any type of network.,Nokia is positioned to help communication service providers, governments, and…","Ottawa, ON",,,"Full Stack Developer (UI/UX), CNS"
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
Entrust Datacard,"Design and implement new product capabilities using Java and JavaScript.,Ensure new features have automated system tests to promote rapid and stable development…","Ottawa, ON",3.2,,Sr Software Developer
Irdeto,"Five-plus years of full-time software development experience.,Interface internally with other developers, product managers, solution architects, and other…","Ottawa, ON",3.8,,Full Stack Developer
Kivuto Solutions,"While currently working remotely, we have a comfortable working environment in the downtown Ottawa area when safe to return.","Ottawa, ON",4.0,,Software/Full Stack Developer
The National Benefit Authority,"Full stack web developing (front/back end).,PHP Developer/Analyst + Work from Home*.,You will design + build + code web-based applications + digital interfaces,…","Ottawa, ON",4.0,"$60,000 a year",PHP Developer/Analyst
Thinking Capital,"Develop customer solutions through collaboration with our product, data science and customer experience experts.,Relational databases such as PostgresQL, MySQL.","Ottawa, ON",3.2,,Full-Stack Developer
,"5+ years of experience in full stack development (web).,You will be responsible for designing and developing custom web applications to facilitate the needs of…","Ottawa, ON",,,Experienced Full Stack Developer
Appletree Medical Group,Primary Function: Provide expertise as a full stack software developer on all platforms and products related to the EMR Advantage suite of software and…,"Ottawa, ON",2.1,"$90,000 - $120,000 a year",Software Developer (CHS)
Kinaxis,"Comfortable working the stack to deliver vertically sliced features.,Our customers rely on RapidResponse, our cloud platform, to plan their supply chains,…","Ottawa, ON",4.0,,Full Stack Developer
Mitel,"Manage full microservice stack running on the cloud platform.,Work in collaboration with other software developers and architects, and under the direction of…","Ottawa, ON",3.3,,Software Developer
Mitel,"2 years+ experience as a junior web app developer working with javascript frameworks such as Angular, React or Vue.","Ottawa, ON",3.3,,Web App Developer
Kinaxis,"Comfortable working the stack to deliver vertically sliced features.,Strong ability to share knowledge and mentor more junior developers.","Ottawa, ON",4.0,,Senior Full Stack Developer
IBM,"Experience in full stack cloud application development and REST APIs using JSON.,To think along with clients and sell.","Ottawa, ON",3.9,,DevOps Developer Intern (4 months)
Ericsson,"Full-stack Virtualization of the 5G NR CU and DU.,Be able to deliver scalability, resilience and performance by taking full advantage of the evolving…","Ottawa, ON",4.1,,Developer - Cloud Native 5G
,"With state-of-the-art software, hardware and services for any type of network.,Nokia is positioned to help communication service providers, governments, and…","Ottawa, ON",,,"Full Stack Developer (UI/UX), CNS"
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
Entrust Datacard,"Design and implement new product capabilities using Java and JavaScript.,Ensure new features have automated system tests to promote rapid and stable development…","Ottawa, ON",3.2,,Sr Software Developer
Irdeto,"Five-plus years of full-time software development experience.,Interface internally with other developers, product managers, solution architects, and other…","Ottawa, ON",3.8,,Full Stack Developer
Kivuto Solutions,"While currently working remotely, we have a comfortable working environment in the downtown Ottawa area when safe to return.","Ottawa, ON",4.0,,Software/Full Stack Developer
The National Benefit Authority,"Full stack web developing (front/back end).,PHP Developer/Analyst + Work from Home*.,You will design + build + code web-based applications + digital interfaces,…","Ottawa, ON",4.0,"$60,000 a year",PHP Developer/Analyst
Thinking Capital,"Develop customer solutions through collaboration with our product, data science and customer experience experts.,Relational databases such as PostgresQL, MySQL.","Ottawa, ON",3.2,,Full-Stack Developer
,"5+ years of experience in full stack development (web).,You will be responsible for designing and developing custom web applications to facilitate the needs of…","Ottawa, ON",,,Experienced Full Stack Developer
Appletree Medical Group,Primary Function: Provide expertise as a full stack software developer on all platforms and products related to the EMR Advantage suite of software and…,"Ottawa, ON",2.1,"$90,000 - $120,000 a year",Software Developer (CHS)
Kinaxis,"Comfortable working the stack to deliver vertically sliced features.,Our customers rely on RapidResponse, our cloud platform, to plan their supply chains,…","Ottawa, ON",4.0,,Full Stack Developer
Mitel,"Manage full microservice stack running on the cloud platform.,Work in collaboration with other software developers and architects, and under the direction of…","Ottawa, ON",3.3,,Software Developer
Mitel,"2 years+ experience as a junior web app developer working with javascript frameworks such as Angular, React or Vue.","Ottawa, ON",3.3,,Web App Developer
Kinaxis,"Comfortable working the stack to deliver vertically sliced features.,Strong ability to share knowledge and mentor more junior developers.","Ottawa, ON",4.0,,Senior Full Stack Developer
IBM,"Experience in full stack cloud application development and REST APIs using JSON.,To think along with clients and sell.","Ottawa, ON",3.9,,DevOps Developer Intern (4 months)
Ericsson,"Full-stack Virtualization of the 5G NR CU and DU.,Be able to deliver scalability, resilience and performance by taking full advantage of the evolving…","Ottawa, ON",4.1,,Developer - Cloud Native 5G
,"With state-of-the-art software, hardware and services for any type of network.,Nokia is positioned to help communication service providers, governments, and…","Ottawa, ON",,,"Full Stack Developer (UI/UX), CNS"
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
Entrust Datacard,"Design and implement new product capabilities using Java and JavaScript.,Ensure new features have automated system tests to promote rapid and stable development…","Ottawa, ON",3.2,,Sr Software Developer
Irdeto,"Five-plus years of full-time software development experience.,Interface internally with other developers, product managers, solution architects, and other…","Ottawa, ON",3.8,,Full Stack Developer
Kivuto Solutions,"While currently working remotely, we have a comfortable working environment in the downtown Ottawa area when safe to return.","Ottawa, ON",4.0,,Software/Full Stack Developer
The National Benefit Authority,"Full stack web developing (front/back end).,PHP Developer/Analyst + Work from Home*.,You will design + build + code web-based applications + digital interfaces,…","Ottawa, ON",4.0,"$60,000 a year",PHP Developer/Analyst
,"As a member of our Engineering team you’ll work closely with the Product team, ensuring that customer experience is front-and-centre for all future features.","Ottawa, ON",,"$95,000 - $125,000 a year",Senior Software Developer
Moneris Solutions Corporation,"Owns the full stack and entire lifecycle of key software applications, from the roadmap to the design/architecture to implementation and continuous iterative…","Ottawa, ON",3.5,,Senior Full Stack Developer - React/Java/JavaScript
,"Work with development teams and product managers to ideate software solutions.,Design front-end and back-end software architecture, and build software…","Kanata, ON",,"$65,000 - $100,000 a year",Senior Full Stack Developer – Cloud Server
Rockport Networks,"5+ years of full-stack or backend software development experience.,You will participate in the full development cycle, including contribution to architecture,…","Ottawa, ON",4.0,,Software Developer
,"Build, and maintain high traffic applications/services; responsible for system requirements, design, full-stack development, testing, deployment, support and…","Ottawa, ON",,,Full Stack Developer
Thinking Capital,"Develop customer solutions through collaboration with our product, data science and customer experience experts.,Relational databases such as PostgresQL, MySQL.","Ottawa, ON",3.2,,Full-Stack Developer
Thinking Capital,"Develop customer solutions through collaboration with our product, data science and customer experience experts.,Relational databases such as PostgresQL, MySQL.","Ottawa, ON",3.2,,Full-Stack Developer
Fortinet,"In addition, they will work closely with other developers and manager of system development team to implement their components by utilizing their knowledge and…","Ottawa, ON",3.8,,Web Developer
,"Implementing, testing, documenting, and maintaining back-end systems for multiple high-traffic services.,Providing constructive feedback in the form of code and…","Ottawa, ON",,,Intermediate Full Stack Software Developer (Remote within Canada)
,"A proven track record of development experience in the professional services industry.,Familiarity with the software development life cycle.","Ottawa, ON",,,Developers and Quality Control
,"Thought Leadership: You analyze MonetizeMore’s tech stack, systems and processes with the goal to iterate on a regular basis.","Ottawa, ON",,,Remote Full Stack Web Developer
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
,"5+ years of experience in full stack development (web).,You will be responsible for designing and developing custom web applications to facilitate the needs of…","Ottawa, ON",,,Experienced Full Stack Developer
Appletree Medical Group,Primary Function: Provide expertise as a full stack software developer on all platforms and products related to the EMR Advantage suite of software and…,"Ottawa, ON",2.1,"$90,000 - $120,000 a year",Software Developer (CHS)
Kinaxis,"Comfortable working the stack to deliver vertically sliced features.,Our customers rely on RapidResponse, our cloud platform, to plan their supply chains,…","Ottawa, ON",4.0,,Full Stack Developer
,"5+ years of experience in full stack development (web).,You will be responsible for designing and developing custom web applications to facilitate the needs of…","Ottawa, ON",,,Experienced Full Stack Developer
Appletree Medical Group,Primary Function: Provide expertise as a full stack software developer on all platforms and products related to the EMR Advantage suite of software and…,"Ottawa, ON",2.1,"$90,000 - $120,000 a year",Software Developer (CHS)
Kinaxis,"Comfortable working the stack to deliver vertically sliced features.,Our customers rely on RapidResponse, our cloud platform, to plan their supply chains,…","Ottawa, ON",4.0,,Full Stack Developer
Mitel,"Manage full microservice stack running on the cloud platform.,Work in collaboration with other software developers and architects, and under the direction of…","Ottawa, ON",3.3,,Software Developer
,We are seeking an experienced full-stack software developer to work with our development team to enhance our existing and new software product offerings.,"Ottawa, ON",,"$50,000 - $80,000 a year",Software Developer
Ross Video,"While we have individual specialties, we are all full stack developers.,If you are the successful candidate, you may be required to undergo a background check…","Ottawa, ON",3.7,,Software Developer - Inception (Job Req. #2021-061)
,"Experience understanding problems throughout the software stack and building appropriate solutions.,This position requires excellent communication skills,…","Ottawa, ON",,,Software Developer
,"You are a Full stack software developer with 5-10+ years of experience who enjoys solving complex problems.,We need like-minded individuals who want to make a…","Ottawa, ON",,,Senior Software Developer
,"As a member of our Engineering team you’ll work closely with the Product team, ensuring that customer experience is front-and-centre for all future features.","Ottawa, ON",,"$95,000 - $125,000 a year",Senior Software Developer
Mitel,"Manage full microservice stack running on the cloud platform.,Work in collaboration with other software developers and architects, and under the direction of…","Ottawa, ON",3.3,,Software Developer
Mitel,"2 years+ experience as a junior web app developer working with javascript frameworks such as Angular, React or Vue.","Ottawa, ON",3.3,,Web App Developer
Kinaxis,"Comfortable working the stack to deliver vertically sliced features.,Strong ability to share knowledge and mentor more junior developers.","Ottawa, ON",4.0,,Senior Full Stack Developer
IBM,"Experience in full stack cloud application development and REST APIs using JSON.,To think along with clients and sell.","Ottawa, ON",3.9,,DevOps Developer Intern (4 months)
Mitel,"2 years+ experience as a junior web app developer working with javascript frameworks such as Angular, React or Vue.","Ottawa, ON",3.3,,Web App Developer
Kinaxis,"Comfortable working the stack to deliver vertically sliced features.,Strong ability to share knowledge and mentor more junior developers.","Ottawa, ON",4.0,,Senior Full Stack Developer
IBM,"Experience in full stack cloud application development and REST APIs using JSON.,To think along with clients and sell.","Ottawa, ON",3.9,,DevOps Developer Intern (4 months)
Ericsson,"Full-stack Virtualization of the 5G NR CU and DU.,Be able to deliver scalability, resilience and performance by taking full advantage of the evolving…","Ottawa, ON",4.1,,Developer - Cloud Native 5G
Microsoft,"If you're looking to develop software that helps business users as well as developers and spans the full stack, this team is for you.","Ottawa, ON",4.2,,Software Engineer
Kinaxis,"Experience with full stack development.,Follow the best practices in software development - writing readable, loosely coupled code including unit and…","Ottawa, ON",4.0,,"Advisory Application Developer, C#"
Moneris Solutions Corporation,"Owns the full stack and entire lifecycle of key software applications, from the roadmap to the design/architecture to implementation and continuous iterative…","Ottawa, ON",3.5,,Senior Full Stack Developer - React/Java/JavaScript
,"Work with development teams and product managers to ideate software solutions.,Design front-end and back-end software architecture, and build software…","Kanata, ON",,"$65,000 - $100,000 a year",Senior Full Stack Developer – Cloud Server
Rockport Networks,"5+ years of full-stack or backend software development experience.,You will participate in the full development cycle, including contribution to architecture,…","Ottawa, ON",4.0,,Software Developer
,"Build, and maintain high traffic applications/services; responsible for system requirements, design, full-stack development, testing, deployment, support and…","Ottawa, ON",,,Full Stack Developer
Ericsson,"Full-stack Virtualization of the 5G NR CU and DU.,Be able to deliver scalability, resilience and performance by taking full advantage of the evolving…","Ottawa, ON",4.1,,Developer - Cloud Native 5G
,"With state-of-the-art software, hardware and services for any type of network.,Nokia is positioned to help communication service providers, governments, and…","Ottawa, ON",,,"Full Stack Developer (UI/UX), CNS"
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
Entrust Datacard,"Design and implement new product capabilities using Java and JavaScript.,Ensure new features have automated system tests to promote rapid and stable development…","Ottawa, ON",3.2,,Sr Software Developer
,"With state-of-the-art software, hardware and services for any type of network.,Nokia is positioned to help communication service providers, governments, and…","Ottawa, ON",,,"Full Stack Developer (UI/UX), CNS"
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
Entrust Datacard,"Design and implement new product capabilities using Java and JavaScript.,Ensure new features have automated system tests to promote rapid and stable development…","Ottawa, ON",3.2,,Sr Software Developer
Irdeto,"Five-plus years of full-time software development experience.,Interface internally with other developers, product managers, solution architects, and other…","Ottawa, ON",3.8,,Full Stack Developer
Payments Canada,"Reporting to the Manager, API, Network and Directory Services, we’re looking for a Senior Full Stack Developer that will work in a team environment to design…","Ottawa, ON",4.1,"$84,000 - $112,000 a year",Senior Full Stack Developer
Ciena,"Preferable knowledge of full stack web development experience with Python and JavaScript.,Help develop instrumentation interfacing classes to all of our…","Ottawa, ON",3.9,,Fall Co op/Intern: Instrumentation Automation Developer
Deloitte,"Experienced with 5+ years as a full stack developer and/or 2+ years of ServiceNow development.,Able to coach and develop junior developers on good design…","Ottawa, ON",4.0,,Senior Developer - ServiceNow Platform
Upland Software,"You are a Full stack software developer with 5-10+ years of experience who enjoys solving complex problems.,We need like-minded individuals who want to make a…","Ottawa, ON",2.8,,Senior Software Developer
Fortinet,"In addition, they will work closely with other developers and manager of system development team to implement their components by utilizing their knowledge and…","Ottawa, ON",3.8,,Web Developer
,"Implementing, testing, documenting, and maintaining back-end systems for multiple high-traffic services.,Providing constructive feedback in the form of code and…","Ottawa, ON",,,Intermediate Full Stack Software Developer (Remote within Canada)
,"A proven track record of development experience in the professional services industry.,Familiarity with the software development life cycle.","Ottawa, ON",,,Developers and Quality Control
,"Thought Leadership: You analyze MonetizeMore’s tech stack, systems and processes with the goal to iterate on a regular basis.","Ottawa, ON",,,Remote Full Stack Web Developer
Irdeto,"Five-plus years of full-time software development experience.,Interface internally with other developers, product managers, solution architects, and other…","Ottawa, ON",3.8,,Full Stack Developer
Kivuto Solutions,"While currently working remotely, we have a comfortable working environment in the downtown Ottawa area when safe to return.","Ottawa, ON",4.0,,Software/Full Stack Developer
The National Benefit Authority,"Full stack web developing (front/back end).,PHP Developer/Analyst + Work from Home*.,You will design + build + code web-based applications + digital interfaces,…","Ottawa, ON",4.0,"$60,000 a year",PHP Developer/Analyst
Kivuto Solutions,"While currently working remotely, we have a comfortable working environment in the downtown Ottawa area when safe to return.","Ottawa, ON",4.0,,Software/Full Stack Developer
The National Benefit Authority,"Full stack web developing (front/back end).,PHP Developer/Analyst + Work from Home*.,You will design + build + code web-based applications + digital interfaces,…","Ottawa, ON",4.0,"$60,000 a year",PHP Developer/Analyst
,"Implement full stack product functionality – design, code, and test.,As the successful candidate, you will be a full stack developer with a minimum of 3 years…","Ottawa, ON",,,Software Developer with Golang skills
Canopy Growth Corporation,"This is a full-time role based out of Kanata, ON, Toronto, ON or Montreal, QC.,Participate in Waterfall and Agile software development projects that span…","Ottawa, ON",2.4,,Full-Stack Developer
,"Full stack web development using Javascript, HTML5, CSS, etc.,Small project teams up to 5 take full responsibility to design, develop and deliver systems…","Ottawa, ON",,,C++ Developer
Kinaxis,"Experience with full stack development.,Work with latest technologies to extend our SOA solution.,Follow the best practices in software development - writing…","Ottawa, ON",4.0,,"Application Server Developer, C#"
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
,We are seeking an experienced full-stack software developer to work with our development team to enhance our existing and new software product offerings.,"Ottawa, ON",,"$50,000 - $80,000 a year",Software Developer
Ross Video,"While we have individual specialties, we are all full stack developers.,If you are the successful candidate, you may be required to undergo a background check…","Ottawa, ON",3.7,,Software Developer - Inception (Job Req. #2021-061)
,"Experience understanding problems throughout the software stack and building appropriate solutions.,This position requires excellent communication skills,…","Ottawa, ON",,,Software Developer
Client Of Emergitel,Our client is looking for a Senior Developer-Analyst contractor with experience as a full-stack developer with web application development experience to join a…,"Ottawa, ON",3.3,$50 - $55 an hour,Application Developer (.Net)
Kinaxis,"Our customers rely on RapidResponse, our cloud platform, to plan their supply chains, monitor its execution and respond to issues and opportunities that arise.","Ottawa, ON",4.0,,Junior Full Stack Developer
,"Work/Life balance – Flexible hours, get stuff done and still have a full life outside of work.,You'll embrace front end development using React primarily as…","Ottawa, ON",,"$80,000 - $100,000 a year",Senior Front End Developer
i-Sight,"Full-stack JavaScript development of Case Management Systems with a Node.js backend.,Graduate of a university or college computer science program or equivalent…","Ottawa, ON",3.4,,Software Application Developer
,"You are a Full stack software developer with 5-10+ years of experience who enjoys solving complex problems.,We need like-minded individuals who want to make a…","Ottawa, ON",,,Senior Software Developer
Microsoft,"If you're looking to develop software that helps business users as well as developers and spans the full stack, this team is for you.","Ottawa, ON",4.2,,Software Engineer
,"As a member of our Engineering team you’ll work closely with the Product team, ensuring that customer experience is front-and-centre for all future features.","Ottawa, ON",,"$95,000 - $125,000 a year",Senior Software Developer
Thales Group,"Mentor, support and coach junior developers.,Experience mentoring / supporting / coaching junior developers.,Thales est une entreprise où les personnes les plus…","Ottawa, ON",4.0,,Senior Software Developer
Spiria,"Spiria is seeking a web application developer with advanced knowledge of frameworks like Angular, Vue and React.,À l’aise dans un environnement à délais serrés;","Gatineau, QC",5.0,,Développeur Full-Stack / Full-Stack Developer
Moneris Solutions Corporation,"Owns the full stack and entire lifecycle of key software applications, from the roadmap to the design/architecture to implementation and continuous iterative…","Ottawa, ON",3.5,,Senior Full Stack Developer - React/Java/JavaScript
